Overall Rank* ,State,Total Score,Emotional & Physical Well-Being Rank ,Work Environment Rank ,Community & Environment Rank 
1,Hawaii,68.71,1,31,3
2,Maryland,64.67,3,10,6
3,New Jersey,62.46,2,32,33
4,Utah,62.2,27,1,1
5,Delaware,60.43,10,27,4
6,Minnesota,60.43,12,4,8
7,Connecticut,60.14,6,16,21
8,Idaho,58.84,30,3,2
9,Nebraska,58.6,11,7,28
10,Massachusetts,58.24,4,5,45
11,South Carolina,57.68,15,14,10
12,South Dakota,57.62,13,12,19
13,California,55.63,9,45,13
14,Florida,55.38,5,21,47
14,New Hampshire,55.38,20,9,22
16,Virginia,55.29,14,15,32
17,Illinois,54.39,8,34,39
18,Kansas,54.23,25,22,9
19,Iowa,54.22,19,30,11
20,Georgia,53.84,18,20,30
21,Wisconsin,53.23,21,17,31
22,Pennsylvania,53.18,22,19,29
23,New York,52.46,7,42,46
24,North Carolina,52.34,17,25,37
25,Arizona,52.13,26,28,14
26,Maine,51.56,32,13,17
27,North Dakota,51.35,28,11,41
28,Washington,51.11,24,38,18
29,Rhode Island,50.77,16,8,50
30,Vermont,50.45,34,2,38
31,Michigan,49.66,31,23,27
32,Missouri,48.3,37,18,26
33,Montana,48.12,43,6,12
34,Wyoming,47.07,39,37,15
35,Colorado,46.29,29,26,48
36,Indiana,45.92,38,41,23
37,Nevada,45.88,36,44,20
38,Texas,45.56,23,39,49
39,Oregon,44.95,35,29,43
40,Ohio,43.55,40,35,36
41,Kentucky,42.88,44,46,16
42,Mississippi,41.83,41,40,35
43,Oklahoma,41.74,48,36,5
44,Alabama,41.67,42,33,42
45,Alaska,41.44,33,48,44
46,New Mexico,40.82,45,47,24
47,Tennessee,40.32,46,24,34
48,West Virginia,38.09,47,50,7
49,Arkansas,37.09,50,43,25
50,Louisiana,32.97,49,49,40
